Location,Employer,Non-Group,Medicaid,Medicare,Military,Uninsured,Total,Footnotes
United States,0.586,0.064,0.125,0.019,0.015,0.191,1.000,1
Alabama,0.569,0.066,0.113,0.037,0.023,0.192,1.000
Alaska,0.574,0.028,0.113,N/A,0.050,0.227,1.000
Arizona,0.520,0.067,0.173,0.020,0.018,0.202,1.000
Arkansas,0.532,0.056,0.120,0.034,0.016,0.241,1.000
California,0.537,0.078,0.137,0.012,0.010,0.226,1.000
Colorado,0.594,0.094,0.095,0.014,0.026,0.177,1.000
Connecticut,0.675,0.063,0.143,0.015,0.006,0.098,1.000
Delaware,0.646,0.045,0.166,0.025,0.011,0.106,1.000
District of Columbia,0.611,0.063,0.230,N/A,0.008,0.079,1.000
Florida,0.513,0.076,0.102,0.021,0.019,0.269,1.000
Georgia,0.556,0.057,0.093,0.018,0.025,0.250,1.000
Hawaii,0.668,0.045,0.121,0.013,0.070,0.083,1.000
Idaho,0.558,0.105,0.097,0.012,0.019,0.208,1.000
Illinois,0.619,0.061,0.133,0.017,0.006,0.164,1.000
Indiana,0.617,0.052,0.113,0.020,0.009,0.188,1.000
Iowa,0.674,0.077,0.109,0.013,0.006,0.120,1.000
Kansas,0.642,0.074,0.071,0.017,0.026,0.171,1.000
Kentucky,0.571,0.054,0.134,0.029,0.016,0.195,1.000
Louisiana,0.521,0.067,0.134,0.020,0.014,0.244,1.000
Maine,0.583,0.056,0.193,0.019,0.016,0.133,1.000
Maryland,0.678,0.062,0.109,0.015,0.017,0.118,1.000
Massachusetts,0.671,0.063,0.207,0.012,0.005,0.043,1.000
Michigan,0.601,0.060,0.158,0.022,0.005,0.154,1.000
Minnesota,0.677,0.080,0.124,0.015,0.007,0.097,1.000
Mississippi,0.517,0.052,0.145,0.029,0.018,0.239,1.000
Missouri,0.610,0.062,0.105,0.026,0.015,0.182,1.000
Montana,0.559,0.101,0.077,0.017,0.016,0.230,1.000
Nebraska,0.625,0.102,0.080,0.011,0.027,0.156,1.000
Nevada,0.569,0.052,0.081,0.018,0.024,0.255,1.000
New Hampshire,0.715,0.053,0.066,0.024,0.008,0.134,1.000
New Jersey,0.666,0.050,0.101,0.017,0.004,0.163,1.000
New Mexico,0.485,0.059,0.153,0.018,0.026,0.259,1.000
New York,0.602,0.047,0.195,0.016,0.004,0.135,1.000
North Carolina,0.556,0.067,0.112,0.025,0.029,0.210,1.000
North Dakota,0.623,0.147,0.077,0.013,0.018,0.121,1.000
Ohio,0.634,0.052,0.133,0.022,0.008,0.151,1.000
Oklahoma,0.552,0.051,0.098,0.031,0.026,0.241,1.000
Oregon,0.572,0.083,0.116,0.017,0.010,0.202,1.000
Pennsylvania,0.645,0.065,0.137,0.020,0.007,0.126,1.000
Rhode Island,0.632,0.048,0.149,0.022,0.013,0.135,1.000
South Carolina,0.548,0.056,0.119,0.033,0.028,0.216,1.000
South Dakota,0.606,0.100,0.079,0.026,0.027,0.162,1.000
Tennessee,0.560,0.060,0.146,0.028,0.019,0.187,1.000
Texas,0.531,0.051,0.088,0.017,0.019,0.294,1.000
Utah,0.642,0.076,0.086,0.010,0.008,0.179,1.000
Vermont,0.640,0.058,0.207,0.017,0.011,0.066,1.000
Virginia,0.644,0.064,0.066,0.023,0.048,0.155,1.000
Washington,0.597,0.079,0.100,0.016,0.028,0.179,1.000
West Virginia,0.564,0.028,0.140,0.037,0.009,0.222,1.000
Wisconsin,0.657,0.058,0.157,0.015,0.007,0.106,1.000
Wyoming,0.629,0.079,0.070,0.015,0.022,0.185,1.000
Puerto Rico,0.333,0.106,0.441,0.041,0.004,0.076,1.000
