Edition,Report Type,Measure Name,State Name,Rank,Value,Score,Lower CI,Upper CI,Source,Source Year
2013,2013 Annual,Air Pollution,Alabama,40,10.7,0.21,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population",2010-2012
2013,2013 Annual,Air Pollution,Alaska,2,5.4,-2,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population",2010-2012
2013,2013 Annual,Air Pollution,Arizona,28,9.6,-0.37,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population",2010-2012
2013,2013 Annual,Air Pollution,Arkansas,40,10.7,0.21,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population",2010-2012
2013,2013 Annual,Air Pollution,California,50,15.1,2,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population",2010-2012
2013,2013 Annual,Air Pollution,Colorado,6,6.7,-1.88,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population",2010-2012
2013,2013 Annual,Air Pollution,Connecticut,20,9,-0.68,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population",2010-2012
2013,2013 Annual,Air Pollution,Delaware,39,10.6,0.16,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population",2010-2012
2013,2013 Annual,Air Pollution,Florida,11,7.6,-1.41,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population",2010-2012
2013,2013 Annual,Air Pollution,Georgia,45,11.2,0.47,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population",2010-2012
2013,2013 Annual,Air Pollution,Hawaii,22,9.1,-0.63,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population",2010-2012
2013,2013 Annual,Air Pollution,Idaho,18,8.6,-0.89,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population",2010-2012
2013,2013 Annual,Air Pollution,Illinois,47,11.7,0.73,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population",2010-2012
2013,2013 Annual,Air Pollution,Indiana,49,12.6,1.2,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population",2010-2012
2013,2013 Annual,Air Pollution,Iowa,34,9.9,-0.21,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population",2010-2012
2013,2013 Annual,Air Pollution,Kansas,19,8.9,-0.73,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population",2010-2012
2013,2013 Annual,Air Pollution,Kentucky,44,11.1,0.42,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population",2010-2012
2013,2013 Annual,Air Pollution,Louisiana,28,9.6,-0.37,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population",2010-2012
2013,2013 Annual,Air Pollution,Maine,10,7.5,-1.46,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population",2010-2012
2013,2013 Annual,Air Pollution,Maryland,43,10.8,0.26,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population",2010-2012
2013,2013 Annual,Air Pollution,Massachusetts,13,8.1,-1.15,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population",2010-2012
2013,2013 Annual,Air Pollution,Michigan,25,9.3,-0.52,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population",2010-2012
2013,2013 Annual,Air Pollution,Minnesota,13,8.1,-1.15,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population",2010-2012
2013,2013 Annual,Air Pollution,Mississippi,33,9.8,-0.26,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population",2010-2012
2013,2013 Annual,Air Pollution,Missouri,35,10,-0.16,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population",2010-2012
2013,2013 Annual,Air Pollution,Montana,9,7.2,-1.62,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population",2010-2012
2013,2013 Annual,Air Pollution,Nebraska,15,8.2,-1.1,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population",2010-2012
2013,2013 Annual,Air Pollution,Nevada,22,9.1,-0.63,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population",2010-2012
2013,2013 Annual,Air Pollution,New Hampshire,11,7.6,-1.41,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population",2010-2012
2013,2013 Annual,Air Pollution,New Jersey,22,9.1,-0.63,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population",2010-2012
2013,2013 Annual,Air Pollution,New Mexico,5,6.6,-1.93,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population",2010-2012
2013,2013 Annual,Air Pollution,New York,20,9,-0.68,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population",2010-2012
2013,2013 Annual,Air Pollution,North Carolina,28,9.6,-0.37,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population",2010-2012
2013,2013 Annual,Air Pollution,North Dakota,3,5.6,-2,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population",2010-2012
2013,2013 Annual,Air Pollution,Ohio,46,11.6,0.68,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population",2010-2012
2013,2013 Annual,Air Pollution,Oklahoma,32,9.7,-0.31,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population",2010-2012
2013,2013 Annual,Air Pollution,Oregon,8,7,-1.73,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population",2010-2012
2013,2013 Annual,Air Pollution,Pennsylvania,47,11.7,0.73,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population",2010-2012
2013,2013 Annual,Air Pollution,Rhode Island,16,8.5,-0.94,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population",2010-2012
2013,2013 Annual,Air Pollution,South Carolina,37,10.2,-0.05,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population",2010-2012
2013,2013 Annual,Air Pollution,South Dakota,4,6.4,-2,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population",2010-2012
2013,2013 Annual,Air Pollution,Tennessee,36,10.1,-0.11,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population",2010-2012
2013,2013 Annual,Air Pollution,Texas,37,10.2,-0.05,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population",2010-2012
2013,2013 Annual,Air Pollution,Utah,25,9.3,-0.52,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population",2010-2012
2013,2013 Annual,Air Pollution,Vermont,7,6.9,-1.78,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population",2010-2012
2013,2013 Annual,Air Pollution,Virginia,25,9.3,-0.52,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population",2010-2012
2013,2013 Annual,Air Pollution,Washington,16,8.5,-0.94,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population",2010-2012
2013,2013 Annual,Air Pollution,West Virginia,40,10.7,0.21,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population",2010-2012
2013,2013 Annual,Air Pollution,Wisconsin,28,9.6,-0.37,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population",2010-2012
2013,2013 Annual,Air Pollution,Wyoming,1,5.3,-2,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population",2010-2012
2013,2013 Annual,Air Pollution,United States,,10.3,,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population",2010-2012
2013,2013 Annual,Air Pollution,District of Columbia,,11.3,,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population",2010-2012
2013,2013 Annual,All Determinants,Alaska,26,0.053,,,,America's Health Rankings composite measure,2013
